user_id,item_id,rating
1,101,5
1,102,3
1,103,4
1,105,2
1,108,5
1,112,4
1,115,3
2,101,4
2,102,5
2,104,3
2,106,4
2,109,5
2,113,2
2,116,4
3,101,3
3,103,5
3,105,4
3,107,5
3,110,3
3,114,4
3,117,5
4,102,4
4,104,5
4,106,3
4,108,4
4,111,5
4,115,3
4,118,4
5,101,2
5,103,3
5,105,5
5,107,4
5,109,3
5,112,5
5,119,4
6,102,3
6,104,4
6,106,5
6,108,3
6,110,4
6,113,5
6,120,3
7,101,5
7,103,4
7,107,3
7,109,5
7,111,4
7,114,3
7,116,5
8,102,2
8,104,3
8,108,5
8,110,4
8,112,3
8,115,5
8,117,4
9,101,4
9,103,5
9,106,3
9,109,4
9,111,5
9,113,3
9,118,4
10,102,5
10,105,4
10,107,3
10,110,5
10,112,4
10,114,3
10,119,5
11,101,3
11,104,4
11,106,5
11,108,3
11,111,4
11,115,5
11,120,3
12,103,5
12,105,4
12,107,5
12,109,3
12,112,4
12,116,5
12,118,3
13,101,4
13,102,3
13,104,5
13,106,4
13,110,3
13,113,5
13,117,4
14,103,3
14,105,5
14,108,4
14,111,3
14,114,5
14,119,4
14,120,3
15,101,5
15,102,4
15,107,3
